Week,Trend,Price
20/09/2020,39,12.29
27/09/2020,42,13
04/10/2020,44,13.2
11/10/2020,45,12.46
18/10/2020,45,12.6
25/10/2020,41,11.28
01/11/2020,35,11.46
08/11/2020,43,12.24
15/11/2020,40,12.53
22/11/2020,39,14.98
29/11/2020,40,16.4
06/12/2020,39,17.049999
13/12/2020,42,16.51
20/12/2020,39,15.66
27/12/2020,44,15.77
03/01/2021,43,15.13
10/01/2021,40,15.76
17/01/2021,38,15.82
24/01/2021,46,17.17
31/01/2021,43,17.190001
07/02/2021,45,17.27
14/02/2021,52,18.68
21/02/2021,53,20.940001
28/02/2021,56,20.450001
07/03/2021,60,23.370001
14/03/2021,61,24.969999
21/03/2021,63,22.93
28/03/2021,61,23.860001
04/04/2021,63,23.540001
11/04/2021,66,22.030001
18/04/2021,68,21.110001
25/04/2021,64,21.719999
02/05/2021,67,22
09/05/2021,71,22.4
16/05/2021,74,22.57
23/05/2021,76,24.24
30/05/2021,76,24.299999
06/06/2021,84,23.530001
13/06/2021,84,22.290001
20/06/2021,100,22.219999
27/06/2021,87,21.48
04/07/2021,83,20.889999
11/07/2021,83,19.790001
18/07/2021,79,21.200001
25/07/2021,73,20.379999
01/08/2021,79,21.02
08/08/2021,72,19.84
15/08/2021,74,18.5
22/08/2021,63,20.219999
29/08/2021,62,19.370001
05/09/2021,61,18.950001
12/09/2021,62,19.209999
