Date,Price
14/09/2020,13.19
21/09/2020,12.29
28/09/2020,13
05/10/2020,13.2
12/10/2020,12.46
19/10/2020,12.6
26/10/2020,11.28
02/11/2020,11.46
09/11/2020,12.24
16/11/2020,12.53
23/11/2020,14.98
30/11/2020,16.4
07/12/2020,17.049999
14/12/2020,16.51
21/12/2020,15.66
28/12/2020,15.77
04/01/2021,15.13
11/01/2021,15.76
18/01/2021,15.82
25/01/2021,17.17
01/02/2021,17.190001
08/02/2021,17.27
15/02/2021,18.68
22/02/2021,20.940001
01/03/2021,20.450001
08/03/2021,23.370001
15/03/2021,24.969999
22/03/2021,22.93
29/03/2021,23.860001
05/04/2021,23.540001
12/04/2021,22.030001
19/04/2021,21.110001
26/04/2021,21.719999
03/05/2021,22
10/05/2021,22.4
17/05/2021,22.57
24/05/2021,24.24
31/05/2021,24.299999
07/06/2021,23.530001
14/06/2021,22.290001
21/06/2021,22.219999
28/06/2021,21.48
05/07/2021,20.889999
12/07/2021,19.790001
19/07/2021,21.200001
26/07/2021,20.379999
02/08/2021,21.02
09/08/2021,19.84
16/08/2021,18.5
23/08/2021,20.219999
30/08/2021,19.370001
06/09/2021,18.950001
13/09/2021,19.209999
