Week,Trend,Price
20/09/2020,88,111.562439
27/09/2020,81,112.297714
04/10/2020,77,116.222473
11/10/2020,93,118.259377
18/10/2020,75,114.304817
25/10/2020,73,108.164307
01/11/2020,61,117.931488
08/11/2020,77,118.702286
15/11/2020,79,116.79126
22/11/2020,100,116.044754
29/11/2020,86,121.678299
06/12/2020,76,121.837555
13/12/2020,73,126.06768
20/12/2020,88,131.352844
27/12/2020,80,132.069473
03/01/2021,70,131.432465
10/01/2021,66,126.545433
17/01/2021,63,138.419647
24/01/2021,65,131.342896
31/01/2021,61,136.120438
07/02/2021,60,134.938278
14/02/2021,57,129.455811
21/02/2021,60,120.873283
28/02/2021,59,121.032768
07/03/2021,60,120.644012
14/03/2021,58,119.60733
21/03/2021,57,120.823433
28/03/2021,59,122.607727
04/04/2021,54,132.575836
11/04/2021,56,133.732147
18/04/2021,63,133.891632
25/04/2021,61,131.040756
02/05/2021,59,129.794754
09/05/2021,57,127.259331
16/05/2021,59,125.242355
23/05/2021,61,124.423584
30/05/2021,60,125.701668
06/06/2021,62,127.159477
13/06/2021,59,130.264832
20/06/2021,62,132.910873
27/06/2021,59,139.750626
04/07/2021,59,144.892914
11/07/2021,61,146.17099
18/07/2021,62,148.337753
25/07/2021,62,145.641785
01/08/2021,62,145.921371
08/08/2021,62,149.100006
15/08/2021,62,148.190002
22/08/2021,62,148.600006
29/08/2021,64,154.300003
05/09/2021,71,148.970001
12/09/2021,91,148.119995
