Date,Price
14/09/2020,106.157204
21/09/2020,111.562439
28/09/2020,112.297714
05/10/2020,116.222473
12/10/2020,118.259377
19/10/2020,114.304817
26/10/2020,108.164307
02/11/2020,117.931488
09/11/2020,118.702286
16/11/2020,116.79126
23/11/2020,116.044754
30/11/2020,121.678299
07/12/2020,121.837555
14/12/2020,126.06768
21/12/2020,131.352844
28/12/2020,132.069473
04/01/2021,131.432465
11/01/2021,126.545433
18/01/2021,138.419647
25/01/2021,131.342896
01/02/2021,136.120438
08/02/2021,134.938278
15/02/2021,129.455811
22/02/2021,120.873283
01/03/2021,121.032768
08/03/2021,120.644012
15/03/2021,119.60733
22/03/2021,120.823433
29/03/2021,122.607727
05/04/2021,132.575836
12/04/2021,133.732147
19/04/2021,133.891632
26/04/2021,131.040756
03/05/2021,129.794754
10/05/2021,127.259331
17/05/2021,125.242355
24/05/2021,124.423584
31/05/2021,125.701668
07/06/2021,127.159477
14/06/2021,130.264832
21/06/2021,132.910873
28/06/2021,139.750626
05/07/2021,144.892914
12/07/2021,146.17099
19/07/2021,148.337753
26/07/2021,145.641785
02/08/2021,145.921371
09/08/2021,149.100006
16/08/2021,148.190002
23/08/2021,148.600006
30/08/2021,154.300003
06/09/2021,148.970001
13/09/2021,148.119995
