Date,Price
14/09/2020,24.69895
21/09/2020,23.013819
28/09/2020,23.719219
05/10/2020,24.845911
12/10/2020,23.748611
19/10/2020,24.395233
26/10/2020,23.219561
02/11/2020,23.817194
09/11/2020,26.452663
16/11/2020,26.266516
23/11/2020,28.402323
30/11/2020,28.696243
07/12/2020,28.165293
14/12/2020,28.26388
21/12/2020,29.535604
28/12/2020,29.880646
04/01/2021,32.069202
11/01/2021,32.542397
18/01/2021,31.103081
25/01/2021,29.229996
01/02/2021,31.911463
08/02/2021,32.897301
15/02/2021,34.050728
22/02/2021,34.218319
01/03/2021,36.406872
08/03/2021,37.588337
15/03/2021,38.172871
22/03/2021,38.32148
29/03/2021,39.123978
05/04/2021,39.619339
12/04/2021,38.787125
19/04/2021,38.816849
26/04/2021,40.154335
03/05/2021,41.78904
10/05/2021,41.967373
17/05/2021,42.007
24/05/2021,41.997093
31/05/2021,42.868938
07/06/2021,41.646584
14/06/2021,38.582287
21/06/2021,41.407806
28/06/2021,40.940205
05/07/2021,39.835865
12/07/2021,37.726669
19/07/2021,37.507793
26/07/2021,38.164429
02/08/2021,39.945305
09/08/2021,41.417759
16/08/2021,40.164177
23/08/2021,42.273373
30/08/2021,40.840714
06/09/2021,40.27
13/09/2021,39.84
