Category: All categories

Week,ExxonMobil: (United States)
2020-09-20,78
2020-09-27,69
2020-10-04,78
2020-10-11,71
2020-10-18,92
2020-10-25,100
2020-11-01,61
2020-11-08,78
2020-11-15,74
2020-11-22,74
2020-11-29,80
2020-12-06,82
2020-12-13,79
2020-12-20,71
2020-12-27,64
2021-01-03,75
2021-01-10,85
2021-01-17,76
2021-01-24,74
2021-01-31,97
2021-02-07,85
2021-02-14,96
2021-02-21,90
2021-02-28,98
2021-03-07,98
2021-03-14,80
2021-03-21,75
2021-03-28,81
2021-04-04,83
2021-04-11,76
2021-04-18,72
2021-04-25,79
2021-05-02,87
2021-05-09,95
2021-05-16,81
2021-05-23,99
2021-05-30,78
2021-06-06,80
2021-06-13,73
2021-06-20,78
2021-06-27,91
2021-07-04,82
2021-07-11,81
2021-07-18,74
2021-07-25,81
2021-08-01,76
2021-08-08,76
2021-08-15,74
2021-08-22,70
2021-08-29,72
2021-09-05,74
2021-09-12,69
