Week,Trend,Price
27/09/2020,68,62.355724
04/10/2020,53,63.45425
11/10/2020,36,64.658768
18/10/2020,36,64.331146
25/10/2020,47,60.60194
01/11/2020,27,62.00882
08/11/2020,42,63.367527
15/11/2020,46,62.64481
22/11/2020,55,61.170475
29/11/2020,21,60.100857
06/12/2020,45,60.392601
13/12/2020,39,60.363426
20/12/2020,31,60.07172
27/12/2020,51,60.509281
03/01/2021,54,58.535412
10/01/2021,48,57.397758
17/01/2021,38,56.687946
24/01/2021,69,57.310246
31/01/2021,63,56.425407
07/02/2021,63,55.793388
14/02/2021,39,56.308727
21/02/2021,60,56.114262
28/02/2021,57,57.601955
07/03/2021,39,59.55143
14/03/2021,40,59.71838
21/03/2021,59,62.566319
28/03/2021,46,62.202961
04/04/2021,43,61.535168
11/04/2021,35,62.21278
18/04/2021,54,62.144035
25/04/2021,61,61.299477
02/05/2021,61,65.748154
09/05/2021,57,65.34552
16/05/2021,58,65.306236
23/05/2021,69,64.314369
30/05/2021,100,66.018127
06/06/2021,65,64.561638
13/06/2021,58,63.00605
20/06/2021,48,63.34293
27/06/2021,77,63.432098
04/07/2021,52,63.689713
11/07/2021,72,63.669899
18/07/2021,84,62.847519
25/07/2021,88,62.778164
01/08/2021,55,62.63945
08/08/2021,66,64.967865
15/08/2021,66,65.552452
22/08/2021,89,62.698895
29/08/2021,85,62.857426
05/09/2021,82,62.740002
12/09/2021,57,63.68
,,63.68
