Date,Price
14/09/2020,33.394863
21/09/2020,32.866081
28/09/2020,33.166935
05/10/2020,33.540726
12/10/2020,34.598278
19/10/2020,34.807957
26/10/2020,32.346424
02/11/2020,33.185169
09/11/2020,35.571198
16/11/2020,35.628117
23/11/2020,36.142639
30/11/2020,39.161804
07/12/2020,39.919025
14/12/2020,36.579494
21/12/2020,36.181469
28/12/2020,35.734905
04/01/2021,36.045559
11/01/2021,35.628117
18/01/2021,35.482502
25/01/2021,34.851482
01/02/2021,34.26889
08/02/2021,34.072624
15/02/2021,33.797844
22/02/2021,32.865559
01/03/2021,33.748775
08/03/2021,34.288521
15/03/2021,34.867519
22/03/2021,35.574097
29/03/2021,35.623161
05/04/2021,35.917568
12/04/2021,37.850838
19/04/2021,37.939159
26/04/2021,37.929348
03/05/2021,38.842007
10/05/2021,39.660786
17/05/2021,39.591415
24/05/2021,38.382366
31/05/2021,38.798595
07/06/2021,39.789619
14/06/2021,38.461647
21/06/2021,38.630119
28/06/2021,39.37339
05/07/2021,39.254467
12/07/2021,39.987823
19/07/2021,41.305885
26/07/2021,42.425743
02/08/2021,45.07
09/08/2021,48.48
16/08/2021,48.720001
23/08/2021,46.599998
30/08/2021,46.84
06/09/2021,45.59
13/09/2021,44.709999
