Week,Trend,Price
20/09/2020,3,32.866081
27/09/2020,4,33.166935
04/10/2020,4,33.540726
11/10/2020,5,34.598278
18/10/2020,6,34.807957
25/10/2020,5,32.346424
01/11/2020,3,33.185169
08/11/2020,73,35.571198
15/11/2020,32,35.628117
22/11/2020,16,36.142639
29/11/2020,32,39.161804
06/12/2020,61,39.919025
13/12/2020,58,36.579494
20/12/2020,31,36.181469
27/12/2020,24,35.734905
03/01/2021,25,36.045559
10/01/2021,32,35.628117
17/01/2021,33,35.482502
24/01/2021,34,34.851482
31/01/2021,34,34.26889
07/02/2021,33,34.072624
14/02/2021,33,33.797844
21/02/2021,41,32.865559
28/02/2021,50,33.748775
07/03/2021,59,34.288521
14/03/2021,63,34.867519
21/03/2021,71,35.574097
28/03/2021,84,35.623161
04/04/2021,88,35.917568
11/04/2021,100,37.850838
18/04/2021,75,37.939159
25/04/2021,65,37.929348
02/05/2021,59,38.842007
09/05/2021,60,39.660786
16/05/2021,45,39.591415
23/05/2021,35,38.382366
30/05/2021,26,38.798595
06/06/2021,29,39.789619
13/06/2021,24,38.461647
20/06/2021,24,38.630119
27/06/2021,23,39.37339
04/07/2021,27,39.254467
11/07/2021,27,39.987823
18/07/2021,34,41.305885
25/07/2021,40,42.425743
01/08/2021,47,45.07
08/08/2021,51,48.48
15/08/2021,48,48.720001
22/08/2021,90,46.599998
29/08/2021,46,46.84
05/09/2021,37,45.59
12/09/2021,37,44.709999
