Week,Trend,Price
20/09/2020,90,324.163666
27/09/2020,83,329.202637
04/10/2020,81,342.031952
11/10/2020,74,342.46582
18/10/2020,71,340.976807
25/10/2020,100,322.004089
01/11/2020,82,345.295959
08/11/2020,96,353.125671
15/11/2020,94,350.394135
22/11/2020,64,358.618317
29/11/2020,83,364.712463
06/12/2020,79,361.211761
13/12/2020,86,364.051758
20/12/2020,69,365.425323
27/12/2020,67,370.258057
03/01/2021,89,377.566589
10/01/2021,79,372.060425
17/01/2021,72,379.170868
24/01/2021,99,366.484985
31/01/2021,94,383.954071
07/02/2021,87,388.836334
14/02/2021,72,386.251587
21/02/2021,99,376.675262
28/02/2021,95,379.913605
07/03/2021,92,390.242554
14/03/2021,84,385.70694
21/03/2021,77,393.428345
28/03/2021,72,398.028473
04/04/2021,83,408.838379
11/04/2021,85,414.571228
18/04/2021,80,414.054535
25/04/2021,79,414.610931
02/05/2021,82,419.399872
09/05/2021,89,413.895569
16/05/2021,80,412.266174
23/05/2021,72,417.333313
30/05/2021,60,419.876801
06/06/2021,70,421.575775
13/06/2021,72,412.246307
20/06/2021,76,425.24762
27/06/2021,74,432.33493
04/07/2021,66,434.129181
11/07/2021,69,429.962524
18/07/2021,87,438.535095
25/07/2021,72,437.10965
01/08/2021,70,441.076935
08/08/2021,68,444.496002
15/08/2021,74,441.944153
22/08/2021,76,448.812164
29/08/2021,73,451.633118
05/09/2021,60,444.017517
12/09/2021,68,442.751587
