Week,Trend,Price
20/09/2020,78,32.292797
27/09/2020,69,30.745279
04/10/2020,78,32.386024
11/10/2020,71,31.789385
18/10/2020,92,31.845322
25/10/2020,100,30.409674
01/11/2020,61,30.55883
08/11/2020,78,33.635223
15/11/2020,74,35.267788
22/11/2020,74,38.37067
29/11/2020,80,39.793221
06/12/2020,82,41.817245
13/12/2020,79,40.795689
20/12/2020,71,39.716839
27/12/2020,64,39.354046
03/01/2021,75,43.402103
10/01/2021,85,45.722103
17/01/2021,76,45.282928
24/01/2021,74,42.810173
31/01/2021,97,47.68885
07/02/2021,85,48.233047
14/02/2021,96,50.8484
21/02/2021,90,52.790291
28/02/2021,98,59.159695
07/03/2021,98,60.169476
14/03/2021,80,54.848698
21/03/2021,75,56.033249
28/03/2021,81,55.722549
04/04/2021,83,54.246708
11/04/2021,76,55.013756
18/04/2021,72,53.955425
25/04/2021,79,55.576904
02/05/2021,87,60.616112
09/05/2021,95,59.004341
16/05/2021,81,58.0415
23/05/2021,99,57.499699
30/05/2021,78,60.533779
06/06/2021,80,61.243042
13/06/2021,73,59.499435
20/06/2021,78,63.695919
27/06/2021,91,62.22813
04/07/2021,82,60.317059
11/07/2021,81,56.465355
18/07/2021,74,56.189533
25/07/2021,81,56.711628
01/08/2021,76,56.997307
08/08/2021,76,55.923557
15/08/2021,74,52.740002
22/08/2021,70,55.77
29/08/2021,72,54.869999
05/09/2021,74,53.98
12/09/2021,69,54.580002
